date,day,price,atm_ce_1,atm_pe_1,itm_ce_1,itm_ce_2,itm_ce_3,itm_ce_4,itm_ce_5,itm_pe_1,itm_pe_2,itm_pe_3,itm_pe_4,itm_pe_5,otm_ce_1,otm_ce_2,otm_ce_3,otm_ce_4,otm_ce_5,otm_pe_1,otm_pe_2,otm_pe_3,otm_pe_4,otm_pe_5
29-01-2026,5,25281.95,199.7,210.2,174.95,154.8,133.7,116.55,100.6,237.05,263.15,292,325.1,359.5,174.95,154.8,133.7,116.55,100.6,237.05,263.15,292,325.1,359.5
30-01-2026,4,25277.05,180.35,205.95,156.8,134.45,115.65,99.05,84.05,231.3,258.45,291.5,323.35,360,156.8,134.45,115.65,99.05,84.05,231.3,258.45,291.5,323.35,360
02-02-2026,1,24782.9,135.2,202.2,113.85,95.25,79.65,66.15,54.7,231.15,263.15,291.95,327.8,370.55,113.85,95.25,79.65,66.15,54.7,231.15,263.15,291.95,327.8,370.55
03-02-2026,0,25780.1,170,284.75,161.55,146.45,150.9,132.15,123.8,323.45,367.3,397.25,442.25,485.75,161.55,146.45,150.9,132.15,123.8,323.45,367.3,397.25,442.25,485.75
04-02-2026,6,25682.55,178.2,186.55,153.4,133.2,113.6,96.9,82.8,213.9,242.2,272.5,307,341.9,153.4,133.2,113.6,96.9,82.8,213.9,242.2,272.5,307,341.9
05-02-2026,5,25718.2,168.05,142.05,143.9,120.85,99.9,83.3,69.05,163.4,191.5,224.1,255.2,292.3,143.9,120.85,99.9,83.3,69.05,163.4,191.5,224.1,255.2,292.3
06-02-2026,4,25588.3,123.6,133.05,103.5,82.05,66.45,54.1,42.7,158.35,191.25,225.35,259.55,300.6,103.5,82.05,66.45,54.1,42.7,158.35,191.25,225.35,259.55,300.6
09-02-2026,1,25830.2,90.5,92.1,67,51.4,37.3,27.6,20.45,119.95,149.7,188.75,227.25,269.35,67,51.4,37.3,27.6,20.45,119.95,149.7,188.75,227.25,269.35
10-02-2026,0,25931,34.3,75.1,20.65,11.25,6.35,4.1,2.8,109.55,152.15,197.5,244.85,295.9,20.65,11.25,6.35,4.1,2.8,109.55,152.15,197.5,244.85,295.9
11-02-2026,6,25981.1,135.1,118.05,109.5,87.1,68.8,52.7,40.65,141.5,170.75,200.9,235.55,274.5,109.5,87.1,68.8,52.7,40.65,141.5,170.75,200.9,235.55,274.5
12-02-2026,5,25862.3,151,85.4,120.1,95,75.2,56.65,42.75,107.6,131.75,158.7,192.1,228.95,120.1,95,75.2,56.65,42.75,107.6,131.75,158.7,192.1,228.95
13-02-2026,4,25590.5,126,99.2,100.15,80.1,60.2,47.1,35.15,121.65,147.9,180.45,213.65,256.25,100.15,80.1,60.2,47.1,35.15,121.65,147.9,180.45,213.65,256.25
16-02-2026,1,25447.8,83.5,109.55,63.45,47.5,35.95,26.75,19.9,138.5,173.2,210.25,253.45,296.35,63.45,47.5,35.95,26.75,19.9,138.5,173.2,210.25,253.45,296.35
17-02-2026,0,25598.6,56.2,50.3,33.85,19.3,11.7,7.25,5.15,79.2,117.4,157.95,203.8,251.75,33.85,19.3,11.7,7.25,5.15,79.2,117.4,157.95,203.8,251.75
18-02-2026,6,25717,160.75,127.3,133.85,109.65,90,72.1,57.85,150.95,178.25,206.65,239.3,275.3,133.85,109.65,90,72.1,57.85,150.95,178.25,206.65,239.3,275.3
19-02-2026,3,25844,117,118.05,90.15,71.7,53.35,41.3,30.55,147.6,173.1,210.9,242.2,284.5,90.15,71.7,53.35,41.3,30.55,147.6,173.1,210.9,242.2,284.5
20-02-2026,2,25465.85,127.95,158.65,108.1,94,74,60.95,49,191.25,181.9,258.45,295.35,327.7,108.1,94,74,60.95,49,191.25,181.9,258.45,295.35,327.7
23-02-2026,1,25661.55,97.25,109.7,74.2,56.15,41.7,30.6,22.25,136,165.5,200.75,242.3,284.5,74.2,56.15,41.7,30.6,22.25,136,165.5,200.75,242.3,284.5
24-02-2026,0,25605.9,61.9,70.25,40.2,26.4,16.55,10.5,6.85,101.25,133.9,173.8,218.5,266.05,40.2,26.4,16.55,10.5,6.85,101.25,133.9,173.8,218.5,266.05
25-02-2026,4,25547,156.2,179.25,140,106.65,94.45,75,70.9,181,220.1,260.15,272.3,315.25,140,106.65,94.45,75,70.9,181,220.1,260.15,272.3,315.25
02-03-2026,1,24839.8,121.3,109.5,92.6,68.25,48.8,35.1,24.1,135.6,161.7,189.3,227,262.6,92.6,68.25,48.8,35.1,24.1,135.6,161.7,189.3,227,262.6
04-03-2026,6,24364.35,311.6,264.05,281.6,255.8,233.8,206.45,185.15,283.85,319.95,345.55,357.35,383.65,281.6,255.8,233.8,206.45,185.15,283.85,319.95,345.55,357.35,383.65
05-03-2026,5,24626.2,221.85,308.3,198.7,174,153.35,134.15,116.45,333.5,362.8,390.6,419.75,452.45,198.7,174,153.35,134.15,116.45,333.5,362.8,390.6,419.75,452.45
06-03-2026,4,24644.65,183.95,247,160.25,137.2,117,99.95,83.15,272.1,300.4,329.7,362,396.05,160.25,137.2,117,99.95,83.15,272.1,300.4,329.7,362,396.05
09-03-2026,1,23844.8,253.8,204.2,225.3,198.5,173.3,149.45,128.45,225.45,251.65,273.8,302.75,330.45,225.3,198.5,173.3,149.45,128.45,225.45,251.65,273.8,302.75,330.45
10-03-2026,0,24200.65,99.6,102.9,77.2,58.9,43.35,32.6,22.2,130.5,160.9,195.6,231.3,274.35,77.2,58.9,43.35,32.6,22.2,130.5,160.9,195.6,231.3,274.35
11-03-2026,6,24255.55,261.9,248.45,231.5,204.3,178.7,157.1,140.65,272.7,300.4,326.9,354.95,386.35,231.5,204.3,178.7,157.1,140.65,272.7,300.4,326.9,354.95,386.35
12-03-2026,5,23575.45,300.3,282.1,268.55,243,224.65,200.8,175.95,304.9,328.35,351.9,378.3,411.7,268.55,243,224.65,200.8,175.95,304.9,328.35,351.9,378.3,411.7
13-03-2026,4,23455.5,253.75,236.05,223.55,201.3,177.1,158.15,138.05,260.5,285.75,313.7,341.05,375.95,223.55,201.3,177.1,158.15,138.05,260.5,285.75,313.7,341.05,375.95
