sym,family,cell,params,n,net,avg,wr,tr_n,tr_net,tr_avg,va_n,va_net,va_avg,maxdd,yrs_pos,tr_avg_2x,va_net_2x,tr_avg_3x,va_net_3x
XAUUSD,AFADE,3,"{'k': 2.0, 'stop_atr': 2.0}",3666,-317.9729955090446,-0.08673567798937387,0.4249863611565739,3187,-269.00623979240413,-0.08440735481405841,479,-48.966755716640485,-0.1022270474251367,-325.96079163488935,2/19,,,,
XAUUSD,AFADE,4,"{'k': 2.5, 'stop_atr': 1.2}",3023,-424.0224038394864,-0.14026543296046523,0.27853126033741316,2618,-374.52252984669724,-0.14305673408964753,405,-49.49987399278921,-0.1222219110933067,-448.31434820566784,2/19,,,,
XAUUSD,AFADE,5,"{'k': 2.5, 'stop_atr': 2.0}",3023,-262.95930854217187,-0.08698620858159836,0.3906715183592458,2618,-222.38058490893022,-0.08494292777270061,405,-40.57872363324164,-0.10019437934133738,-275.35574453998277,2/19,,,,
XAUUSD,HANDOFF,0,"{'k': 1.5, 'rr': 1.5, 'stop_atr': 1.5}",3155,-384.5839942911665,-0.12189667013983091,0.37147385103011094,2772,-348.95886440323534,-0.12588703622050337,383,-35.62512988793109,-0.09301600492932399,-395.2818324141941,1/19,,,,
XAUUSD,HANDOFF,1,"{'k': 1.5, 'rr': 2.5, 'stop_atr': 1.5}",3155,-413.72268623372236,-0.1311323886636204,0.2665610142630745,2772,-375.50088598019084,-0.13546208007943392,383,-38.22180025353147,-0.09979582311627015,-459.81749573243866,4/19,,,,
XAUUSD,HANDOFF,2,"{'k': 2.0, 'rr': 1.5, 'stop_atr': 1.5}",2691,-300.06586921144293,-0.11150719777459789,0.3756967670011148,2377,-269.7286179276162,-0.11347438701203878,314,-30.337251283826706,-0.0966154499484927,-313.4699635459665,3/19,,,,
XAUUSD,HANDOFF,3,"{'k': 2.0, 'rr': 2.5, 'stop_atr': 1.5}",2691,-362.7160173880902,-0.13478856090230035,0.26570048309178745,2377,-318.68310729631344,-0.13406946036866363,314,-44.03291009177684,-0.14023219774451223,-399.1265501310837,4/19,,,,
XAUUSD,HANDOFF,4,"{'k': 2.5, 'rr': 1.5, 'stop_atr': 1.5}",2210,-255.16741730258852,-0.1154603698201758,0.3737556561085973,1958,-238.02080202135932,-0.1215632288158117,252,-17.146615281229195,-0.06804212413186189,-261.5630065299874,3/19,,,,
XAUUSD,HANDOFF,5,"{'k': 2.5, 'rr': 2.5, 'stop_atr': 1.5}",2210,-274.74045024236284,-0.12431694581102391,0.2678733031674208,1958,-247.05762330110832,-0.1261785614408112,252,-27.682826941254543,-0.1098524878621212,-296.9198983487951,5/19,,,,
XAUUSD,IBX,0,"{'rr': 2.0, 'sides': 'L'}",1223,40.00045388734512,0.032706830651958396,0.35731807031888796,1069,-25.49533057347269,-0.023849701191274733,154,65.4957844608178,0.42529730169362207,-84.47049349016709,10/19,,,,
XAUUSD,IBX,1,"{'rr': 2.0, 'sides': 'LS'}",1896,-97.9963014328392,-0.051685812992003796,0.32858649789029537,1647,-139.47339511727003,-0.08468330001048575,249,41.47709368443084,0.16657467343144916,-170.4232574192905,7/19,,,,
XAUUSD,IBX,2,"{'rr': 3.0, 'sides': 'L'}",1155,96.49694193248952,0.0835471358722853,0.2935064935064935,1012,15.046753537669652,0.014868333535246692,143,81.45018839481988,0.5695817370267124,-66.11098412205342,11/19,-0.011910660832906126,76.07526306808042,-0.06548532973955369,69.91473931540958
XAUUSD,IBX,3,"{'rr': 3.0, 'sides': 'LS'}",1752,-29.943043070931576,-0.01709077800852259,0.2688356164383562,1521,-80.59847968244824,-0.05299045344013691,231,50.65543661151669,0.21928760437886013,-112.5613352327824,8/19,,,,
EURUSD,ORB,0,"{'open_min': 120, 'rng_min': 30, 'pad': 0.1, 'rr': 2.0, 'cutoff_min': 720}",4208,-100.34348336118691,-0.0238458848291794,0.3590779467680608,2770,-142.93053866670186,-0.05159947244285266,1438,42.58705530551497,0.029615476568508325,-182.5190644858591,6/12,,,,
EURUSD,ORB,1,"{'open_min': 120, 'rng_min': 30, 'pad': 0.1, 'rr': 3.0, 'cutoff_min': 720}",4208,-23.809684323815638,-0.0056581949438725375,0.31630228136882127,2770,-73.12093273959749,-0.02639744864245397,1438,49.31124841578189,0.03429154966326974,-160.21294902152488,8/12,,,,
EURUSD,ORB,2,"{'open_min': 120, 'rng_min': 60, 'pad': 0.1, 'rr': 2.0, 'cutoff_min': 720}",3890,-142.14390748451814,-0.036540850253089494,0.38508997429305913,2552,-127.3386298633964,-0.0498975822348732,1338,-14.805277621121757,-0.011065229911152285,-190.3852457967011,4/12,,,,
EURUSD,ORB,3,"{'open_min': 120, 'rng_min': 60, 'pad': 0.1, 'rr': 3.0, 'cutoff_min': 720}",3890,-105.36424051595745,-0.027085923011814252,0.3606683804627249,2552,-93.00216727227982,-0.03644285551421623,1338,-12.362073243677601,-0.009239217670910016,-144.28115681892334,5/12,,,,
EURUSD,ORB,4,"{'open_min': 480, 'rng_min': 30, 'pad': 0.1, 'rr': 2.0, 'cutoff_min': 720}",3470,-212.30131236276864,-0.061181934398492406,0.39221902017291066,2285,-142.85256258807465,-0.06251753286130181,1185,-69.44874977469398,-0.05860653989425652,-223.22247014933222,2/12,,,,
