pair,tf,t1,cost_mult,n,wr,avg,net,tr_n,tr_avg,tr_net,va_n,va_avg,va_net
USDJPY,60,swing,0.0,1261,0.3957176843774782,-0.02615945606671891,-32.987074100132546,798,-0.029352490105296898,-23.423287104026926,463,-0.020656127421394412,-9.563786996105613
USDJPY,60,swing,2.0,1261,0.36241078509119745,-0.1350693108340011,-170.32240096167538,798,-0.1479667248305236,-118.07744641475783,463,-0.11284007461537272,-52.24495454691757
USDJPY,60,rr5,1.0,1246,0.3547351524879615,-0.06962262025052185,-86.74978483215023,789,-0.07083756508804154,-55.89083885446477,457,-0.0675250459030316,-30.858945977685444
USDJPY,60,rr5,0.0,1246,0.36918138041733545,-0.011848585873006108,-14.76333799776561,789,-0.0015170958755301883,-1.1969886457933185,457,-0.02968566597805753,-13.566349351972292
USDJPY,60,rr5,2.0,1245,0.3357429718875502,-0.11690821444372418,-145.5507269824366,788,-0.12446471999620005,-98.07819935700564,457,-0.10387861624820775,-47.47252762543094
USDJPY,240,swing,1.0,253,0.4505928853754941,0.015188959768801354,3.8428068215067426,169,-0.04873566168126247,-8.236326824133357,84,0.14379921006714402,12.079133645640098
USDJPY,240,swing,0.0,253,0.45454545454545453,0.050783559504156535,12.848240554551603,169,-0.013945027067059662,-2.356709574333083,84,0.18101131105815102,15.204950128884686
USDJPY,240,swing,2.0,253,0.4426877470355731,-0.01739566353606329,-4.401102874624012,169,-0.08073548654158855,-13.644297225528463,84,0.11003802798695775,9.243194350904451
USDJPY,240,rr5,1.0,253,0.45454545454545453,0.041578246674989085,10.519296408772238,169,-0.011819639287335797,-1.9975190395597497,84,0.14900970771823793,12.516815448331986
USDJPY,240,rr5,0.0,253,0.45849802371541504,0.0844529411330423,21.366594106659704,169,0.033824028647275094,5.716260841389491,84,0.1863134912532168,15.650333265270213
USDJPY,240,rr5,2.0,253,0.44664031620553357,0.010827320163466473,2.7393120013570176,169,-0.04418960655004868,-7.468043506958226,84,0.12151613700375288,10.207355508315242
AUDUSD,1,swing,1.0,2082,0.13112391930835735,-0.12356925866727692,-257.2711965452705,1060,-0.10459837599969518,-110.8742785596769,1022,-0.1432455166199546,-146.3969179855936
AUDUSD,1,swing,0.0,2083,0.13202112337974076,0.3815081580710383,794.6814932619727,1060,0.3029016649479867,321.0757648448659,1023,0.4629577012874944,473.6057284171068
AUDUSD,1,swing,2.0,2082,0.1292026897214217,-0.32963232260747216,-686.294495668757,1060,-0.29883485040164137,-316.76494142573983,1022,-0.3615749063043221,-369.5295542430172
AUDUSD,1,rr5,1.0,2136,0.15262172284644196,-0.1540159347929962,-328.97803671783987,1092,-0.13710268558161365,-149.7161326551221,1044,-0.17170680465777563,-179.26190406271775
AUDUSD,1,rr5,0.0,2288,0.21503496503496503,0.31644848726887137,724.0341388711777,1167,0.3006657396661545,350.8769181904023,1121,0.33287887661086113,373.1572206807753
AUDUSD,1,rr5,2.0,2082,0.12776176753121998,-0.32589461856666735,-678.5125958558015,1067,-0.29075649579529894,-310.23718101358395,1015,-0.3628329210268154,-368.27541484221763
AUDUSD,5,swing,1.0,1929,0.24727838258164853,-0.044383839857822904,-85.61642708574038,993,-0.11487882071085034,-114.0746689658744,936,0.030404104572792762,28.458241880134025
AUDUSD,5,swing,0.0,1930,0.25077720207253884,0.20629738721808855,398.1539573309109,994,0.08001028003174544,79.53021835155496,936,0.34040997754204694,318.62373897935595
AUDUSD,5,swing,2.0,1923,0.2376495059802392,-0.19449189495594935,-374.0079140002906,990,-0.23834761460228254,-235.96413845625972,933,-0.14795688697109424,-138.04377554403092
AUDUSD,5,rr5,1.0,1837,0.20631464344039194,-0.04051339838203032,-74.42311282778971,956,-0.09642896754388836,-92.18609297195727,881,0.020162293012676018,17.76298014416757
AUDUSD,5,rr5,0.0,1873,0.22904431393486385,0.168096721142113,314.84515869917766,974,0.08460738844007605,82.40759634063407,899,0.258551237328747,232.43756235854357
